state,year,pdf_link,doc_name,doc_number,scraped_at
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38755764,Apparent Bid Results 02-07-2025,38755764,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38767796,Apparent Bid Results 02-26-2025,38767796,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38789739,Apparent Bid Results 03-26-2025,38789739,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38793987,Apparent Bid Results 04-02-2025,38793987,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38803828,Apparent Bid Results 04-16-2025,38803828,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38807180,Apparent Bid Results 04-23-2025,38807180,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38813960,Apparent Bid Results 05-07-2025,38813960,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38821969,Apparent Bid Results 05-21-2025,38821969,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38897767,Apparent Bid Results 06-11-2025,38897767,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38906330,Apparent Bid Results 06-25-2025,38906330,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38927916,Apparent Bid Results 07-23-2025,38927916,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38945095,Apparent Bid Results 08-20-2025,38945095,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38967666,Apparent Bid Results 09-24-2025,38967666,2025-11-22T17:45:59.361442
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38977578,Apparent Bid Results 10-08-2025,38977578,2025-11-22T17:45:59.361442
