state,year,document_title,pdf_link
SD,2023.0,"March 22, 2023",https://apps.sd.gov/HC65C2C/EBS/lettings/03222023final.pdf
SD,2023.0,"March 1, 2023",https://apps.sd.gov/HC65C2C/EBS/lettings/03012023final.pdf
SD,2023.0,"February, 15 2023",https://apps.sd.gov/HC65C2C/EBS/lettings/02152023final.pdf
SD,2023.0,"Februray 1, 2023",https://apps.sd.gov/HC65C2C/EBS/lettings/02012023final.pdf
SD,2023.0,"January 11, 2023",https://apps.sd.gov/HC65C2C/EBS/lettings/01112023final.pdf
SD,2022.0,"December 14, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/12142022final.pdf
SD,2022.0,"December 7, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/12072022final.pdf
SD,2022.0,"November 16, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/11162022final.pdf
SD,2022.0,"November 2, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/11022022final.pdf
SD,2022.0,"October 21, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/10212022final.pdf
SD,2022.0,"October 19, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/10192022final.pdf
SD,2022.0,"October 5, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/10052022final.pdf
SD,2022.0,"September 21, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/09212022final.pdf
SD,2022.0,"September 7, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/09072022final.pdf
SD,2022.0,"August 17, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/08172022final.pdf
SD,2022.0,"July 20, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/07202022final.pdf
SD,2022.0,"June 15, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/06152022final.pdf
SD,2022.0,"June 1, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/06012022final.pdf
SD,2022.0,"May 18, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/05182022final.pdf
SD,2022.0,"May 11, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/05112022final.pdf
SD,2022.0,"May 4, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/05042022final.pdf
SD,2022.0,"April 20, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/04202022final.pdf
SD,2022.0,"April 6, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/04062022final.pdf
SD,2022.0,"March 16, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/03162022final.pdf
SD,2022.0,"March 2, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/03022022final.pdf
SD,2022.0,"February 16, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/02162022final.pdf
SD,2022.0,"February 2, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/02022022final.pdf
SD,2022.0,"January 19, 2022",https://apps.sd.gov/HC65C2C/EBS/lettings/01192022final.pdf
SD,2021.0,"December 15, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/12152021final.pdf
SD,2021.0,"December 1, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/12012021final.pdf
SD,2021.0,"November 17, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/11172021final.pdf
SD,2021.0,"November 3, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/11032021final.pdf
SD,2021.0,"October 20, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/10202021final.pdf
SD,2021.0,"October 6, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/10062021final.pdf
SD,2021.0,"September 15, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/09152021final.pdf
SD,2021.0,"September 1, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/09012021final.pdf
SD,2021.0,"August 18, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/08182021final.pdf
SD,2021.0,"July 21, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/07212021final.pdf
SD,2021.0,"June 16, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/06162021final.pdf
SD,2021.0,"June 2, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/06022021final.pdf
SD,2021.0,"May 19, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/05192021final.pdf
SD,2021.0,"May 5, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/05052021final.pdf
SD,2021.0,"April 21, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/04212021final.pdf
SD,2021.0,"April 14, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/04142021final.pdf
SD,2021.0,"March 17, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/03172021final.pdf
SD,2021.0,"March 3, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/03032021final.pdf
SD,2021.0,"February 17, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/02172021final.pdf
SD,2021.0,"February 3, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/02032021final.pdf
SD,2021.0,"January 20, 2021",https://apps.sd.gov/HC65C2C/EBS/lettings/01202021final.pdf
