state,year,pdf_link,doc_name,doc_number,scraped_at,download_status,download_path,download_error,downloaded_at
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38573247,Apparent Bid Results 03-08-2024,38573247.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38573247.0.pdf,,2025-11-22T18:15:49.273653
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38580449,Apparent Bid Results 03-22-2024,38580449.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38580449.0.pdf,,2025-11-22T18:15:51.400781
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38599721,Apparent Bid Results 04-26-2024,38599721.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38599721.0.pdf,,2025-11-22T18:15:53.458670
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38604986,Apparent Bid Results 05-08-2024 DB,38604986.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38604986.0.pdf,,2025-11-22T18:15:55.382717
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38606234,Apparent Bid Results 05-10-2024,38606234.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38606234.0.pdf,,2025-11-22T18:15:57.407039
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38621253,Apparent Bid Results 06-07-2024,38621253.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38621253.0.pdf,,2025-11-22T18:15:59.556979
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38628060,Apparent Bid Results 06-21-2024,38628060.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38628060.0.pdf,,2025-11-22T18:16:01.607587
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38646111,Apparent Bid Results 07-26-2024,38646111.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38646111.0.pdf,,2025-11-22T18:16:03.647849
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38659395,Apparent Bid Results 08-23-2024,38659395.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38659395.0.pdf,,2025-11-22T18:16:05.846782
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38679740,Apparent Bid Results 09-27-2024,38679740.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38679740.0.pdf,,2025-11-22T18:16:08.024434
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38692711,Apparent Bid Results 10-25-2024,38692711.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38692711.0.pdf,,2025-11-22T18:16:10.216874
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38696992,Apparent Bid Results 05-17-2024,38696992.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38696992.0.pdf,,2025-11-22T18:16:12.569985
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38708534,Apparent Bid Results 11-22-2024,38708534.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38708534.0.pdf,,2025-11-22T18:16:14.793587
MN,2024.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38717999,Apparent Bid Results 12-06-2024,38717999.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38717999.0.pdf,,2025-11-22T18:16:17.041096
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38749733,Apparent Bid Results 01-29-2025,38749733.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38749733.0.pdf,,2025-11-22T18:16:19.255604
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38754124,Apparent Bid Results 02-05-2025,38754124.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38754124.0.pdf,,2025-11-22T18:16:21.312676
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=38755764,Apparent Bid Results 02-07-2025,38755764.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_38755764.0.pdf,,2025-11-22T18:16:23.467641
